;Wavenumber;10.12.D;10.12.G;10.13.G;12.1.D;12.1.G;12.4.D;12.4.G;12.5.D;12.5.G
0;4000,0;99,657119;96,688213;99,618463;99,700774;96,729655;102,079985;97,155279;99,721045;98,644287
1;3999,0;99,654129;96,693574;99,647967;99,691257;96,721555;102,084277;97,142944;99,753129;98,630291
2;3998,0;99,651004;96,713154;99,67746;99,681615;96,726356;102,088549;97,139468;99,785163;98,631793
3;3997,0;99,684715;96,731397;99,70697;99,707746;96,741229;102,097821;97,145546;99,827676;98,642562
4;3996,0;99,732221;96,736198;99,736449;99,753449;96,760889;102,106599;97,16021;99,858787;98,657984
5;3995,0;99,760371;96,729432;99,766018;99,78322;96,781236;102,105773;97,180878;99,862495;98,673397
6;3994,0;99,755537;96,725306;99,788315;99,775513;96,802284;102,092873;97,206587;99,841098;98,690904
7;3993,0;99,730911;96,737904;99,805937;99,740003;96,82699;102,07285;97,237467;99,81125;98,713885
8;3992,0;99,708579;96,768542;99,819777;99,704051;96,855633;102,050964;97,268322;99,788344;98,74633
9;3991,0;99,697983;96,803626;99,827898;99,686415;96,880991;102,02896;97,284206;99,774805;98,783126
10;3990,0;99,690989;96,826055;99,82986;99,685166;96,890805;102,007507;97,268228;99,762406;98,808984
11;3989,0;99,674743;96,83125;99,830393;99,687367;96,878184;101,98854;97,219124;99,744288;98,812269
12;3988,0;99,647302;96,831877;99,837682;99,685348;96,850619;101,974051;97,161133;99,723975;98,800017
13;3987,0;99,621615;96,844198;99,855396;99,683118;96,826687;101,964685;97,131106;99,71318;98,793891
14;3986,0;99,614725;96,868866;99,875673;99,689384;96,820928;101,959733;97,149236;99,72034;98,80757
15;3985,0;99,633047;96,888467;99,882252;99,706573;96,831983;101,95702;97,200343;99,741221;98,830867
16;3984,0;99,667862;96,886277;99,864275;99,727905;96,847069;101,953853;97,245656;99,762041;98,839611
17;3983,0;99,703775;96,866037;99,829086;99,745204;96,857937;101,95036;97,256193;99,773068;98,821053
18;3982,0;99,729338;96,849008;99,798878;99,757461;96,869109;101,950642;97,235312;99,777419;98,78625
19;3981,0;99,739865;96,85088;99,791649;99,769338;96,888212;101,958358;97,209018;99,784328;98,756173
20;3980,0;99,735375;96,865056;99,805055;99,782761;96,911321;101,972345;97,197968;99,796055;98,738925
21;3979,0;99,720953;96,870382;99,819995;99,793733;96,922466;101,989187;97,200628;99,805637;98,723023
22;3978,0;99,708055;96,853967;99,820715;99,798127;96,90937;102,008407;97,201915;99,80818;98,69321
23;3977,0;99,710013;96,824022;99,809547;99,797071;96,877657;102,031134;97,193657;99,810163;98,650402
24;3976,0;99,73187;96,801075;99,801295;99,794689;96,847866;102,053557;97,184031;99,824277;98,614185
25;3975,0;99,763937;96,797325;99,804732;99,793512;96,837324;102,066421;97,187399;99,855586;98,605108
26;3974,0;99,78781;96,805039;99,812191;99,795355;96,844762;102,064221;97,20695;99,895599;98,62576
27;3973,0;99,791451;96,8048;99,807278;99,804722;96,852445;102,05308;97,229781;99,930239;98,659626
28;3972,0;99,780475;96,784994;99,780703;99,826212;96,84253;102,046513;97,238004;99,951442;98,685522
29;3971,0;99,773764;96,753055;99,738183;99,856747;96,811193;102,05277;97,223357;99,959896;98,692093
30;3970,0;99,785598;96,728397;99,695162;99,883464;96,769139;102,06774;97,19152;99,959088;98,681788
31;3969,0;99,810829;96,726013;99,666204;99,89173;96,732232;102,079371;97,155409;99,950322;98,666297
32;3968,0;99,829426;96,74587;99,658073;99,876843;96,71244;102,079104;97,126716;99,934884;98,658709
33;3967,0;99,827107;96,775314;99,670355;99,848164;96,714396;102,069228;97,112786;99,918613;98,66616
34;3966,0;99,809542;96,800319;99,700696;99,822524;96,736909;102,05999;97,118512;99,910859;98,687154
35;3965,0;99,795266;96,817421;99,74824;99,813305;96,776536;102,059152;97,147275;99,917286;98,715386
36;3964,0;99,796632;96,836959;99,810324;99,823763;96,829757;102,065243;97,197937;99,934293;98,746121
37;3963,0;99,809553;96,872463;99,875309;99,847678;96,891011;102,071342;97,260026;99,951535;98,777616
38;3962,0;99,819739;96,923213;99,921659;99,873353;96,947885;102,072802;97,312829;99,959103;98,806643
39;3961,0;99,816039;96,967728;99,929192;99,887907;96,980889;102,069255;97,333493;99,952574;98,826081
40;3960,0;99,79813;96,980211;99,895026;99,883051;96,974221;102,061207;97,310247;99,933644;98,829627
41;3959,0;99,774734;96,954856;99,838812;99,86194;96,930222;102,049422;97,251066;99,908373;98,818624
42;3958,0;99,757463;96,912386;99,791073;99,840763;96,873358;102,039035;97,18122;99,885461;98,802741
43;3957,0;99,753233;96,881812;99,772607;99,836588;96,836071;102,037459;97,128896;99,872071;98,792666
44;3956,0;99,760346;96,875233;99,781125;99,849766;96,83509;102,045236;97,107622;99,869043;98,790655
45;3955,0;99,770854;96,879272;99,795337;99,860872;96,857293;102,051977;97,108111;99,871167;98,786991
46;3954,0;99,777253;96,868926;99,792753;99,850008;96,86859;102,047177;97,108067;99,873822;98,766488
47;3953,0;99,77764;96,83142;99,767225;99,820028;96,841582;102,033856;97,091994;99,878668;98,720822
48;3952,0;99,776018;96,777341;99,732365;99,798156;96,778487;102,028633;97,063863;99,890879;98,657881
49;3951,0;99,779717;96,731506;99,70985;99,813153;96,711805;102,047767;97,043449;99,911394;98,601081
50;3950,0;99,793572;96,71263;99,713015;99,866774;96,681352;102,089976;97,048624;99,93178;98,577247
51;3949,0;99,814593;96,719886;99,739126;99,927963;96,704829;102,13409;97,078063;99,938757;98,599747
52;3948,0;99,834753;96,736618;99,774707;99,959094;96,76489;102,156793;97,111097;99,92696;98,659454
53;3947,0;99,850997;96,745095;99,806162;99,950742;96,822842;102,15536;97,127095;99,90795;98,731292
54;3946,0;99,868049;96,740276;99,825822;99,926567;96,847796;102,147535;97,123916;99,901808;98,78947
55;3945,0;99,889256;96,732128;99,831686;99,914927;96,836847;102,148949;97,116835;99,917276;98,818801
56;3944,0;99,909479;96,736752;99,825599;99,92128;96,814755;102,156861;97,124162;99,941923;98,819487
57;3943,0;99,92137;96,762509;99,813072;99,929652;96,812905;102,159048;97,154495;99,95493;98,805755
58;3942,0;99,926615;96,802055;99,802386;99,927507;96,841511;102,154662;97,203279;99,949536;98,795594
59;3941,0;99,932389;96,839134;99,801029;99,919237;96,88195;102,154067;97,257666;99,935937;98,79746
60;3940,0;99,935494;96,862064;99,812165;99,912727;96,906147;102,158834;97,301388;99,922305;98,805518
61;3939,0;99,920366;96,868526;99,833751;99,903657;96,899501;102,156318;97,319168;99,903863;98,807983
62;3938,0;99,878774;96,862295;99,858524;99,882621;96,86776;102,138045;97,304266;99,875826;98,799395
63;3937,0;99,823835;96,849129;99,874937;99,850832;96,827609;102,111685;97,263562;99,84676;98,784973
64;3936,0;99,780706;96,833306;99,87208;99,821505;96,792484;102,093669;97,213439;99,832993;98,773073
65;3935,0;99,764656;96,816421;99,846821;99,805807;96,76693;102,092936;97,168657;99,841795;98,765028
66;3934,0;99,770422;96,798357;99,807627;99,803225;96,752;102,105845;97,138338;99,864296;98,755781
67;3933,0;99,781448;96,783108;99,771539;99,806313;96,754438;102,121155;97,12979;99,885037;98,743536
68;3932,0;99,786322;96,780013;99,753791;99,80974;96,783818;102,126285;97,14708;99,894694;98,733611
69;3931,0;99,786902;96,794907;99,757052;99,813832;96,837767;102,115182;97,182698;99,894601;98,730086
70;3930,0;99,790647;96,820776;99,771893;99,82176;96,893957;102,093098;97,215975;99,891715;98,72903
71;3929,0;99,798355;96,841484;99,788732;99,836492;96,922985;102,073724;97,229034;99,892139;98,726263
72;3928,0;99,802768;96,84712;99,806874;99,859608;96,910484;102,068398;97,222918;99,898801;98,727362
73;3927,0;99,796715;96,844099;99,83068;99,888632;96,867507;102,074129;97,213821;99,908918;98,743099
74;3926,0;99,7822;96,84748;99,858388;99,916383;96,820113;102,076076;97,21342;99,913676;98,773768
