;Wavenumber;Abs
0;4000,0;99,618463
1;3999,0;99,647967
2;3998,0;99,67746
3;3997,0;99,70697
4;3996,0;99,736449
5;3995,0;99,766018
6;3994,0;99,788315
7;3993,0;99,805937
8;3992,0;99,819777
9;3991,0;99,827898
10;3990,0;99,82986
11;3989,0;99,830393
12;3988,0;99,837682
13;3987,0;99,855396
14;3986,0;99,875673
15;3985,0;99,882252
16;3984,0;99,864275
17;3983,0;99,829086
18;3982,0;99,798878
19;3981,0;99,791649
20;3980,0;99,805055
21;3979,0;99,819995
22;3978,0;99,820715
23;3977,0;99,809547
24;3976,0;99,801295
25;3975,0;99,804732
26;3974,0;99,812191
27;3973,0;99,807278
28;3972,0;99,780703
29;3971,0;99,738183
30;3970,0;99,695162
31;3969,0;99,666204
32;3968,0;99,658073
33;3967,0;99,670355
34;3966,0;99,700696
35;3965,0;99,74824
36;3964,0;99,810324
37;3963,0;99,875309
38;3962,0;99,921659
39;3961,0;99,929192
40;3960,0;99,895026
41;3959,0;99,838812
42;3958,0;99,791073
43;3957,0;99,772607
44;3956,0;99,781125
45;3955,0;99,795337
46;3954,0;99,792753
47;3953,0;99,767225
48;3952,0;99,732365
49;3951,0;99,70985
50;3950,0;99,713015
51;3949,0;99,739126
52;3948,0;99,774707
53;3947,0;99,806162
54;3946,0;99,825822
55;3945,0;99,831686
56;3944,0;99,825599
57;3943,0;99,813072
58;3942,0;99,802386
59;3941,0;99,801029
60;3940,0;99,812165
61;3939,0;99,833751
62;3938,0;99,858524
63;3937,0;99,874937
64;3936,0;99,87208
65;3935,0;99,846821
66;3934,0;99,807627
67;3933,0;99,771539
68;3932,0;99,753791
69;3931,0;99,757052
70;3930,0;99,771893
71;3929,0;99,788732
72;3928,0;99,806874
73;3927,0;99,83068
74;3926,0;99,858388
75;3925,0;99,878068
76;3924,0;99,876788
77;3923,0;99,853391
78;3922,0;99,821127
79;3921,0;99,798736
80;3920,0;99,797737
81;3919,0;99,815857
82;3918,0;99,842768
83;3917,0;99,870955
84;3916,0;99,897911
85;3915,0;99,920598
86;3914,0;99,93285
87;3913,0;99,929216
88;3912,0;99,90968
89;3911,0;99,879749
90;3910,0;99,845947
91;3909,0;99,812617
92;3908,0;99,782784
93;3907,0;99,75975
94;3906,0;99,746023
95;3905,0;99,742027
96;3904,0;99,747447
97;3903,0;99,761941
98;3902,0;99,782266
99;3901,0;99,79998
100;3900,0;99,805406
101;3899,0;99,794643
102;3898,0;99,770891
103;3897,0;99,74101
104;3896,0;99,713188
105;3895,0;99,696841
106;3894,0;99,701521
107;3893,0;99,730874
108;3892,0;99,774266
109;3891,0;99,809133
110;3890,0;99,81962
