;Wavenumber;Abs
0;4000,0;99,700774
1;3999,0;99,691257
2;3998,0;99,681615
3;3997,0;99,707746
4;3996,0;99,753449
5;3995,0;99,78322
6;3994,0;99,775513
7;3993,0;99,740003
8;3992,0;99,704051
9;3991,0;99,686415
10;3990,0;99,685166
11;3989,0;99,687367
12;3988,0;99,685348
13;3987,0;99,683118
14;3986,0;99,689384
15;3985,0;99,706573
16;3984,0;99,727905
17;3983,0;99,745204
18;3982,0;99,757461
19;3981,0;99,769338
20;3980,0;99,782761
21;3979,0;99,793733
22;3978,0;99,798127
23;3977,0;99,797071
24;3976,0;99,794689
25;3975,0;99,793512
26;3974,0;99,795355
27;3973,0;99,804722
28;3972,0;99,826212
29;3971,0;99,856747
30;3970,0;99,883464
31;3969,0;99,89173
32;3968,0;99,876843
33;3967,0;99,848164
34;3966,0;99,822524
35;3965,0;99,813305
36;3964,0;99,823763
37;3963,0;99,847678
38;3962,0;99,873353
39;3961,0;99,887907
40;3960,0;99,883051
41;3959,0;99,86194
42;3958,0;99,840763
43;3957,0;99,836588
44;3956,0;99,849766
45;3955,0;99,860872
46;3954,0;99,850008
47;3953,0;99,820028
48;3952,0;99,798156
49;3951,0;99,813153
50;3950,0;99,866774
51;3949,0;99,927963
52;3948,0;99,959094
53;3947,0;99,950742
54;3946,0;99,926567
55;3945,0;99,914927
56;3944,0;99,92128
57;3943,0;99,929652
58;3942,0;99,927507
59;3941,0;99,919237
60;3940,0;99,912727
61;3939,0;99,903657
62;3938,0;99,882621
63;3937,0;99,850832
64;3936,0;99,821505
65;3935,0;99,805807
66;3934,0;99,803225
67;3933,0;99,806313
68;3932,0;99,80974
69;3931,0;99,813832
70;3930,0;99,82176
71;3929,0;99,836492
72;3928,0;99,859608
73;3927,0;99,888632
74;3926,0;99,916383
75;3925,0;99,935755
76;3924,0;99,945806
77;3923,0;99,951642
78;3922,0;99,959563
79;3921,0;99,974714
80;3920,0;99,997735
81;3919,0;100,017551
82;3918,0;100,014449
83;3917,0;99,980922
84;3916,0;99,936902
85;3915,0;99,914342
86;3914,0;99,926456
87;3913,0;99,957069
88;3912,0;99,979111
